epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9243595600128174,0.0,0.0016684309812262654,0.9208032488822937,0.0013505448587238789
1,0.9252735376358032,1.9999999949504854e-06,0.0014865357661619782,0.9149737358093262,0.0013964775716885924
2,0.9133893847465515,3.999999989900971e-06,0.001359516172669828,0.9378552436828613,0.0012108094524592161
3,0.9064612984657288,6.000000212225132e-06,0.0013014829019084573,0.9456140398979187,0.0019277636893093586
4,0.9121707081794739,7.999999979801942e-06,0.0014953968347981572,0.9124496579170227,0.0014931655023247004
5,0.8983752727508545,9.999999747378752e-06,0.001365685136988759,0.9094350934028625,0.0015650972491130233
6,0.8985758423805237,9.924038749886677e-06,0.001293532783165574,0.897692859172821,0.001395180239342153
7,0.8947476148605347,9.69846314546885e-06,0.0011380184441804886,0.8896450996398926,0.0015317503130063415
8,0.8919909596443176,9.330126886197831e-06,0.001106621464714408,0.940000593662262,0.001200301107019186
9,0.8978273272514343,8.83022221387364e-06,0.0013834716519340873,0.8728616237640381,0.0009097568108700216
10,0.8932925462722778,8.213937690015882e-06,0.0013054030714556575,0.9062402248382568,0.0015563198830932379
11,0.8897234201431274,7.499999810534064e-06,0.0010816052090376616,0.9068206548690796,0.0016149532748386264
12,0.8992213010787964,6.71010093356017e-06,0.0015933142276480794,0.8881109356880188,0.0012430165661498904
13,0.8881245851516724,5.868240805284586e-06,0.0011485200375318527,0.9016116261482239,0.0017659717705100775
14,0.8894680738449097,4.999999873689376e-06,0.001107304822653532,0.9074273705482483,0.0013964484678581357
15,0.8903985619544983,4.131758942094166e-06,0.0012738876976072788,0.897825300693512,0.0013444871874526143
16,0.8931227326393127,3.2898992685659323e-06,0.0013923103688284755,0.8929318189620972,0.0012340341927483678
17,0.8924787640571594,2.499999936844688e-06,0.0013950775610283017,0.8999426364898682,0.0017613437958061695
18,0.8910523653030396,1.7860619436760317e-06,0.0012952453689649701,0.8996807932853699,0.0016846173675730824
19,0.889565646648407,1.1697777608787874e-06,0.0012020858703181148,0.8983297944068909,0.0014424558030441403
20,0.8933292627334595,6.698729748677579e-07,0.001457455102354288,0.9034435749053955,0.0015592030249536037
21,0.8950719237327576,3.0153688612699625e-07,0.0015739946393296123,0.899983823299408,0.0015095074195414782
22,0.8926643133163452,7.596123197117777e-08,0.0014226889470592141,0.8963208198547363,0.0011792649747803807
