epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8797816038131714,0.0,0.0035935910418629646,0.9075570702552795,0.002275673905387521
1,0.8838903903961182,1.9999999949504854e-06,0.0026323620695620775,0.9066116213798523,0.002632735762745142
2,0.8840438723564148,3.999999989900971e-06,0.003024318488314748,0.9039962887763977,0.002255867701023817
3,0.8835766315460205,6.000000212225132e-06,0.0033411637414246798,0.9054882526397705,0.002625089604407549
4,0.88820880651474,7.999999979801942e-06,0.0025884960778057575,0.9051101803779602,0.0024004837032407522
5,0.8952796459197998,9.999999747378752e-06,0.0018825390143319964,0.909383237361908,0.003938157577067614
6,0.882476806640625,9.924038749886677e-06,0.0031308294273912907,0.8962979316711426,0.002834157319739461
7,0.8989420533180237,9.69846314546885e-06,0.002285252558067441,0.9116897583007812,0.0018818509997799993
8,0.8954706788063049,9.330126886197831e-06,0.001964548137038946,0.9159179925918579,0.0026406508404761553
9,0.8858188986778259,8.83022221387364e-06,0.003012283705174923,0.9023349285125732,0.0035073019098490477
10,0.8999848365783691,8.213937690015882e-06,0.0021724679972976446,0.9096850752830505,0.003619926515966654
11,0.8898265361785889,7.499999810534064e-06,0.0028098251204937696,0.9159948825836182,0.001712167402729392
12,0.8944526314735413,6.71010093356017e-06,0.0025537852197885513,0.9183371067047119,0.0017683693440631032
13,0.9024053812026978,5.868240805284586e-06,0.0021488117054104805,0.9112118482589722,0.0028580077923834324
14,0.8868407011032104,4.999999873689376e-06,0.002611378440633416,0.9059524536132812,0.0025868185330182314
15,0.8943830132484436,4.131758942094166e-06,0.002414590446278453,0.9044153094291687,0.0031488111708313227
16,0.8928560614585876,3.2898992685659323e-06,0.0026690508238971233,0.9167816042900085,0.0014780526980757713
17,0.8901116847991943,2.499999936844688e-06,0.002659289864823222,0.9104666113853455,0.0021370977628976107
18,0.8927412033081055,1.7860619436760317e-06,0.0028297873213887215,0.9111831784248352,0.0017927847802639008
19,0.8916460275650024,1.1697777608787874e-06,0.002888294868171215,0.9075225591659546,0.00215475307777524
20,0.8964308500289917,6.698729748677579e-07,0.0025854783598333597,0.9060257077217102,0.0021089212968945503
21,0.8978592157363892,3.0153688612699625e-07,0.002405243692919612,0.9022161960601807,0.00269487826153636
22,0.9017714262008667,7.596123197117777e-08,0.0020304732024669647,0.9090121388435364,0.001707268413156271
