epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9251139163970947,0.0,0.0029656351543962955,0.9297842383384705,0.0031143552623689175
1,0.927586555480957,1.9999999949504854e-06,0.003226619679480791,0.9309844970703125,0.003000771626830101
2,0.92391437292099,3.999999989900971e-06,0.002875660778954625,0.9306988716125488,0.002984172897413373
3,0.9251636862754822,6.000000212225132e-06,0.002802767790853977,0.9313583374023438,0.0028008001390844584
4,0.9289565086364746,7.999999979801942e-06,0.0027361649554222822,0.9343414306640625,0.0026639990974217653
5,0.9314059615135193,9.999999747378752e-06,0.0027646005619317293,0.9362545609474182,0.002902866806834936
6,0.9319168329238892,9.924038749886677e-06,0.003108870005235076,0.9379693865776062,0.003119239117950201
7,0.9359517693519592,9.69846314546885e-06,0.00274437153711915,0.9382302761077881,0.003152131335809827
8,0.9377467632293701,9.330126886197831e-06,0.002722494537010789,0.9429208636283875,0.0026059381198138
9,0.9375464916229248,8.83022221387364e-06,0.002757526468485594,0.9439724683761597,0.002669496228918433
10,0.937837541103363,8.213937690015882e-06,0.0028962346259504557,0.9422390460968018,0.002858769614249468
11,0.9406129717826843,7.499999810534064e-06,0.0026864877436310053,0.9391571283340454,0.0031235218048095703
12,0.9400306344032288,6.71010093356017e-06,0.002906101755797863,0.946704089641571,0.0026518988888710737
13,0.9395314455032349,5.868240805284586e-06,0.0029574083164334297,0.9457815289497375,0.002725855680182576
14,0.9400513768196106,4.999999873689376e-06,0.0030110140796750784,0.9483410716056824,0.002727634971961379
15,0.9451031684875488,4.131758942094166e-06,0.0027412408962845802,0.9453482031822205,0.002838076325133443
16,0.9440828561782837,3.2898992685659323e-06,0.0027662375941872597,0.9497534036636353,0.002558712149038911
17,0.9418215751647949,2.499999936844688e-06,0.0029331601690500975,0.9488430619239807,0.0027380106039345264
18,0.9423640966415405,1.7860619436760317e-06,0.002884849440306425,0.9487084746360779,0.002755178604274988
19,0.9438984394073486,1.1697777608787874e-06,0.0027954173274338245,0.9455825686454773,0.0028375389520078897
20,0.9453015923500061,6.698729748677579e-07,0.002715381095185876,0.9484869241714478,0.002710778499022126
21,0.9447241425514221,3.0153688612699625e-07,0.002775295404717326,0.9459823369979858,0.0029580499976873398
22,0.9445092678070068,7.596123197117777e-08,0.0027738616336137056,0.9462621808052063,0.0028607973363250494
